,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,https://tripadvisor.com
43,Soppakeittio,Helsinki,"'Fast Food', 'European', 'Soups', 'Scandinavian', 'Vegetarian Friendly'",44,4.5,$,98,"'Cheap Good Lunch to Load Up on Bread..', 'Best Seafood Soup!', '01/05/2018', '12/24/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d6701079-Reviews-Soppakeittio-Helsinki_Uusimaa.html
44,Boulevard Social,Helsinki,"'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",45,4,$$$$,338,"'Quick service, social eating', 'Exciting menu & food', '12/15/2017', '11/05/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d3247029-Reviews-Boulevard_Social-Helsinki_Uusimaa.html
45,Salve,Helsinki,"'Seafood', 'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options'",46,4,$$ - $$$,522,"'Big potion and free salad!', 'Real food and traditional restaurant', '01/05/2018', '11/19/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d805824-Reviews-Salve-Helsinki_Uusimaa.html
46,Aito,Helsinki,"'European', 'Scandinavian', 'Contemporary', 'Vegetarian Friendly', 'Gluten Free Options'",47,4.5,$$ - $$$,174,"'Great food and service!', 'Almost fifht star', '12/01/2017', '11/18/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d1742084-Reviews-Aito-Helsinki_Uusimaa.html
47,Restaurant Merimakasiini,Helsinki,"'Scandinavian', 'Seafood', 'International', 'European', 'Soups', 'Gluten Free Options'",48,4,$$ - $$$,237,"'Warm Service, Plates Piled High', 'Excellent food, good atmospere', '08/20/2017', '08/08/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d793582-Reviews-Restaurant_Merimakasiini-Helsinki_Uusimaa.html
48,Maya Bar & Grill,Helsinki,"'Brazilian', 'Latin', 'Mexican', 'South American', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",49,4,$$ - $$$,302,"'Great food', 'Good meal', '01/06/2018', '12/18/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d818203-Reviews-Maya_Bar_Grill-Helsinki_Uusimaa.html
49,Restaurant Gron,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Vegan Options'",50,4.5,$$ - $$$,63,"'Nice little restaurant, nice flavours', 'Four course vegetarian menu', '12/29/2017', '12/12/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d10180728-Reviews-Restaurant_Gron-Helsinki_Uusimaa.html
50,Salutorget,Helsinki,"'European', 'Central European', 'Scandinavian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",51,4,$$ - $$$,356,"'Nice atmosphere overall', 'Nice Lux Helsinki Menu', '01/08/2018', '01/06/2018'",https://tripadvisor.com/Restaurant_Review-g189934-d2071753-Reviews-Salutorget-Helsinki_Uusimaa.html
51,Everest,Helsinki,"'Indian', 'Asian', 'Nepali', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",52,4,$$ - $$$,194,"'Lovely surprise', 'Good Nepalese food in Helsinki', '11/29/2017', '11/11/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d807582-Reviews-Everest-Helsinki_Uusimaa.html
52,Spis,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",53,4.5,$$$$,142,"'Fantastic culinary experience', 'Excellent small cozy restaurant', '01/03/2018', '01/01/2018'",https://tripadvisor.com/Restaurant_Review-g189934-d2569524-Reviews-Spis-Helsinki_Uusimaa.html
53,Sushi Wagocoro,Helsinki,"'Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",54,5,$$ - $$$,84,"'Amazingly delicious sushi', 'Astonishingly good sushi', '11/10/2017', '10/30/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d4707794-Reviews-Sushi_Wagocoro-Helsinki_Uusimaa.html
54,Hoku,Helsinki,"'Hawaiian', 'Japanese', 'Asian', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options'",55,4.5,$$ - $$$,212,"'The best teriyaki salmon in Helsinki', 'Great restaurant in the center - lunch hou...', '01/05/2018', '12/28/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d2654852-Reviews-Hoku-Helsinki_Uusimaa.html
55,Casa Italia,Helsinki,"'Italian', 'Mediterranean', 'European', 'Wine Bar', 'Vegetarian Friendly'",56,4.5,$$ - $$$,222,"'Real Eye-talian in Helsinki', 'Cute small and Italian', '11/23/2017', '11/19/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d7136365-Reviews-Casa_Italia-Helsinki_Uusimaa.html
56,Brasserie Kamp,Helsinki,"'European', 'Scandinavian', 'International', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",57,4,$$$$,448,"'Nice spot to enjoy breakfast or lunch', 'Enjoyed it', '10/17/2017', '10/02/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d809479-Reviews-Brasserie_Kamp-Helsinki_Uusimaa.html
57,Mamma Rosa,Helsinki,"'Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options'",58,4,$$ - $$$,300,"'Very tasty dinner', ""Töölö's classic"", '12/07/2017', '11/21/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d779833-Reviews-Mamma_Rosa-Helsinki_Uusimaa.html
58,Fafa's,Helsinki,"'Street Food', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",59,4.5,$,211,"'Excellent value fast food option', ""Tasty Pitta's"", '01/02/2018', '12/25/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d3201486-Reviews-Fafa_s-Helsinki_Uusimaa.html
59,Silvoplee,Helsinki,"'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",60,4.5,$$ - $$$,150,"'Definitely recommended vegan restaurant', 'Excellent vegetarian buffet*****+', '01/04/2018', '12/22/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d898631-Reviews-Silvoplee-Helsinki_Uusimaa.html
60,Restaurant Karljohan,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options'",61,4.5,$$ - $$$,207,"'Reliable and delicious', 'Perfect lunch spot', '12/04/2017', '11/17/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d1867174-Reviews-Restaurant_Karljohan-Helsinki_Uusimaa.html
